large_zone,region,tokyo_chiyoda_chuo_minato,tokyo_meguro_shinagawa_ota,tokyo_toshima_bunkyo_shinjuku_shibuya,tokyo_arakawa_taito_sumida_koto,tokyo_nakano_suginami_setagaya,tokyo_nerima_itabashi_kita,tokyo_adachi_katsushika_edogawa,chofu_nishitokyo_fuchu_musashino_etc,machida_tama_hachioji_inagi_etc,mizuho_fussa_hamura_akiruno_etc,yokohama_nishi_naka,yokohama_isogo_minami_kanazawa_konan,yokohama_hodogaya_totsuka_sakae_izumi_etc,yokohama_kohoku_tsuzuki_midori_aoba,yokohama_tsurumi_kanagawa,kawasaki_kawasaki_saiwai_nakahara,kawasaki_takatsu_miyamae_tama_asao,sagamihara_city,yokosuka_miura,kamakura_zushi_hayama,fujisawa_chigasaki_samukawa,hiratsuka_oiso_ninomiya,odawara_manazuru_yugawara_hakone,minami_ashigara_nakai_oi_matsuda_etc,atsugi_hadano_kiyokawa_isehara_etc,zama_yamato_ebina_ayase,saitama_city,kawaguchi_warabi_toda,asaka_wako_niiza_tokorozawa_etc,soka_kasukabe_misato_koshigaya_etc,hanno_hidaka_moroyama_ogose_etc,tsurugashima_sakado_kawajima_higashimatsuyama_etc,ageo_konosu_okegawa_kitamoto_etc,kuki_kazo_hanyu_gyoda_etc,kumagaya_fukaya_ogawa_yorii_etc,honjo_kamikawa_kamisato,chichibu_yokoze_minano_nagatoro_etc,chiba_city,ichikawa_urayasu_narashino_funabashi,matsudo_kamagaya_kashiwa_abiko,nagareyama_noda,yachiyo_sakura_narita_shiroi_etc,ichihara_city,kisarazu_sodegaura_kimitsu_futtsu,katsuura_otaki_tateyama_kamogawa_etc,choshi_asahi_sosa_katori_etc,togane_mobara_sanmu_oamishirasato_etc,tsuchiura_ishioka_omitama_kasumigaura_etc,koga_shimotsuma_yachiyo_goka_etc,tsukuba_city,joso_bando,ryugasaki_toride_ushiku_moriya_etc,inashiki_miho_kawachi,kashima_kamisu_namegata_itako,mito_hitachi_kasama_hitachinaka_etc,yuki_chikusei_sakuragawa,maebashi_takasaki_isesaki_shibukawa_etc,kiryu_ota_tatebayashi_midori_etc,utsunomiya_kanuma_moka_kaminokawa_etc,tochigi_oyama_shimotsuke_nogi_etc,ashikaga_sano,tokyo_islands,ibaraki_north,tochigi_north,gunma_north,gunma_other_ueno_kanna_nanmoku,hokkaido_tohoku,hokuriku,yamanashi_nagano,shizuoka,chubu_west,overseas,unknown,all_regions
0,tokyo_chiyoda_chuo_minato,34,17,4,29,4,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,124
1,tokyo_meguro_shinagawa_ota,102,221,55,66,18,9,9,60,9,2,11,10,11,12,4,7,4,6,4,0,10,6,2,0,17,18,23,11,20,11,0,4,9,15,2,0,0,8,13,4,4,9,2,2,0,4,6,0,0,0,0,0,0,0,2,0,6,0,8,0,0,0,0,2,0,0,46,14,13,14,132,8,42,1111
2,tokyo_toshima_bunkyo_shinjuku_shibuya,0,0,0,3,0,0,0,45,18,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,39,141
3,tokyo_arakawa_taito_sumida_koto,243,52,62,324,37,67,98,7,0,0,0,0,0,0,9,3,0,3,0,0,0,0,0,0,9,4,6,11,11,9,0,0,0,0,0,0,0,0,25,6,3,0,0,0,0,0,0,3,3,0,2,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,3,3,3,35,0,25,1079
4,tokyo_nakano_suginami_setagaya,0,107,62,0,320,0,0,133,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,52,708
5,tokyo_nerima_itabashi_kita,29,26,134,104,0,209,81,35,0,0,0,0,35,0,0,11,0,3,0,0,0,0,0,0,11,22,0,3,11,11,0,11,11,0,0,11,0,0,11,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,3,2,2,0,5,0,28,878
6,tokyo_adachi_katsushika_edogawa,26,32,11,125,3,3,39,15,11,3,4,0,3,0,4,3,0,0,3,0,9,0,0,0,6,4,7,4,18,18,0,0,0,10,4,0,0,11,43,17,6,8,0,0,0,0,0,0,0,3,3,0,0,4,3,0,0,3,3,0,0,0,0,0,0,0,14,1,0,3,29,0,58,578
7,chofu_nishitokyo_fuchu_musashino_etc,68,76,155,76,174,83,25,577,107,64,0,0,0,16,9,29,24,10,4,27,18,0,0,0,22,21,24,10,46,23,0,4,7,4,0,0,0,0,22,9,4,9,0,4,0,4,0,9,0,0,4,3,0,0,4,0,9,3,0,4,0,0,0,0,0,0,51,25,16,12,113,0,341,2352
8,machida_tama_hachioji_inagi_etc,7,15,11,13,8,0,0,67,86,31,4,8,0,9,0,6,0,11,2,0,4,2,0,0,9,2,4,0,20,0,4,0,0,0,0,0,0,4,4,4,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,20,2,30,0,49,454
9,mizuho_fussa_hamura_akiruno_etc,0,0,7,4,8,4,0,75,25,83,0,0,0,0,0,0,0,43,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,54,0,32,0,0,0,84,574
10,yokohama_nishi_naka,4,4,1,45,18,0,2,0,6,2,59,107,85,80,31,22,17,6,34,18,62,7,0,3,26,18,7,0,7,0,0,0,0,0,2,0,0,2,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,2,4,0,0,0,0,0,0,7,2,7,2,12,0,8,741
11,yokohama_isogo_minami_kanazawa_konan,0,10,7,0,3,0,0,0,0,0,27,33,30,13,13,13,0,7,7,25,22,3,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,232
12,yokohama_hodogaya_totsuka_sakae_izumi_etc,2,0,0,2,0,0,2,5,0,0,11,11,28,2,15,10,5,7,5,0,2,2,2,0,15,2,0,5,5,2,0,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,5,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,5,10,2,35,0,7,247
13,yokohama_kohoku_tsuzuki_midori_aoba,3,0,0,3,0,0,0,2,3,0,13,10,162,155,7,7,13,0,3,0,0,0,0,1,3,25,3,1,0,0,0,0,0,0,0,0,0,15,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,5,8,3,57,0,22,557
14,yokohama_tsurumi_kanagawa,67,94,68,91,59,22,56,86,41,2,55,70,82,53,92,94,78,39,7,0,11,39,7,0,35,53,16,18,7,2,0,0,17,2,2,0,0,51,79,12,5,0,4,0,14,0,0,0,0,0,0,23,0,2,26,0,16,2,14,14,0,0,0,0,0,0,176,26,33,82,865,2,92,2902
15,kawasaki_kawasaki_saiwai_nakahara,11,176,3,43,3,3,8,8,0,3,14,22,25,25,74,189,16,5,3,3,0,0,0,0,14,30,13,3,22,8,3,3,5,8,0,0,0,14,0,8,46,8,3,0,0,0,3,3,0,0,0,0,0,0,3,3,11,0,5,0,0,0,0,5,0,0,19,0,8,11,19,0,129,1037
16,kawasaki_takatsu_miyamae_tama_asao,4,15,11,0,4,4,4,8,4,8,0,0,0,4,0,4,28,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,23,4,0,0,23,0,11,184
17,sagamihara_city,0,0,0,0,4,0,0,49,30,19,0,0,0,7,0,4,15,55,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,195
18,yokosuka_miura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,kamakura_zushi_hayama,0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0,0,12,99,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277
20,fujisawa_chigasaki_samukawa,10,9,3,0,4,0,7,18,3,0,3,13,11,12,14,10,7,7,7,6,23,1,1,1,10,25,0,0,0,0,0,12,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,6,14,0,15,290
21,hiratsuka_oiso_ninomiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
22,odawara_manazuru_yugawara_hakone,4,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,4,18,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,59
23,minami_ashigara_nakai_oi_matsuda_etc,0,14,0,0,0,7,0,0,0,3,0,32,7,7,25,21,11,21,0,0,12,6,208,111,54,7,11,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,25,0,42,82,64,0,265,1059
24,atsugi_hadano_kiyokawa_isehara_etc,0,27,20,24,10,4,0,44,10,7,39,0,13,17,13,35,13,27,0,10,23,10,10,10,42,59,26,7,31,11,0,4,4,28,0,0,0,18,37,17,4,7,0,0,0,4,0,4,10,10,10,21,0,0,19,0,26,44,13,7,0,0,4,0,0,0,105,74,34,80,459,0,44,1622
25,zama_yamato_ebina_ayase,13,3,10,13,27,10,7,86,31,34,10,47,128,38,13,20,29,84,19,40,135,35,45,45,181,113,3,0,0,0,0,0,3,13,0,0,0,30,7,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,20,3,83,43,23,0,233,1700
26,saitama_city,14,4,0,22,7,8,2,22,3,4,0,0,0,0,4,0,0,4,0,0,0,7,0,0,14,0,169,24,29,23,0,0,14,12,13,7,7,4,17,0,0,16,0,0,0,0,0,10,7,0,0,7,0,0,13,0,2,7,0,4,3,0,0,0,0,0,46,22,8,8,167,4,71,828
27,kawaguchi_warabi_toda,22,11,30,17,21,76,49,11,0,0,4,0,0,33,13,22,11,22,0,0,15,0,0,0,0,11,207,206,162,128,10,5,23,55,0,0,0,14,36,16,11,3,0,6,0,0,0,3,0,0,0,0,0,3,6,0,11,0,6,0,0,0,0,0,0,0,11,0,0,0,15,0,744,2051
28,asaka_wako_niiza_tokorozawa_etc,0,0,0,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,10,223,0,22,32,15,0,17,4,4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,5,0,0,0,0,0,0,15,26,15,9,54,0,53,592
29,soka_kasukabe_misato_koshigaya_etc,26,28,25,57,6,23,49,23,5,0,5,5,0,0,11,4,0,2,0,0,2,0,5,0,13,2,27,23,28,157,0,0,11,23,11,0,0,18,29,25,44,6,0,0,0,7,0,0,5,0,11,3,0,0,24,0,11,8,31,2,0,0,0,0,0,0,61,47,24,21,136,5,243,1330
30,hanno_hidaka_moroyama_ogose_etc,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,35,0,17,35,0,3,24,3,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,3,3,8,0,7,181
31,tsurugashima_sakado_kawajima_higashimatsuyama_etc,0,0,0,0,0,0,0,13,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,46,33,78,22,17,46,6,81,49,5,3,0,6,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,3,0,14,54,11,0,72,0,51,693
32,ageo_konosu_okegawa_kitamoto_etc,3,3,7,7,0,3,0,19,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,43,8,33,25,0,0,21,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,27,14,0,0,48,0,59,351
33,kuki_kazo_hanyu_gyoda_etc,30,4,8,25,13,47,56,29,9,9,0,9,4,4,4,0,9,4,4,0,9,4,0,0,0,10,20,41,59,32,0,20,0,110,57,7,0,33,43,46,53,13,9,0,0,4,3,37,19,7,10,9,0,4,66,0,78,45,46,28,10,0,0,14,3,0,38,101,36,12,79,0,38,1519
34,kumagaya_fukaya_ogawa_yorii_etc,3,1,3,2,0,0,13,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,48,4,14,5,1,12,15,9,69,24,11,3,0,4,1,1,0,0,0,0,2,2,8,0,1,2,0,0,3,1,41,7,1,2,0,0,0,1,1,0,21,4,14,8,68,0,11,461
35,honjo_kamikawa_kamisato,10,0,3,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,3,10,0,0,0,0,7,17,4,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,7,3,0,20,0,31,150
36,chichibu_yokoze_minano_nagatoro_etc,3,0,7,3,0,0,0,7,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,3,0,0,0,0,0,10,3,0,0,34,0,3,119
37,chiba_city,7,22,2,16,0,2,6,6,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,4,2,4,12,0,2,0,0,0,0,0,178,86,100,36,118,38,100,54,72,84,9,0,0,0,10,7,16,7,0,5,38,7,0,0,0,0,0,0,0,21,0,3,0,18,7,207,1317
38,ichikawa_urayasu_narashino_funabashi,77,16,0,117,0,5,94,8,10,5,0,0,34,0,18,3,0,20,5,0,0,0,0,0,13,5,76,45,79,113,5,0,40,43,0,0,0,49,164,39,25,77,4,5,10,4,5,0,4,0,30,44,0,0,5,0,0,0,0,9,9,0,0,3,0,0,87,14,16,14,28,4,291,1770
39,matsudo_kamagaya_kashiwa_abiko,14,4,7,93,0,24,137,7,0,0,5,3,3,11,4,4,0,0,0,4,4,0,0,51,0,0,48,28,14,172,0,7,0,7,0,0,0,24,111,452,48,73,0,0,7,4,7,7,4,4,6,64,0,3,14,0,3,0,0,0,0,0,0,21,0,0,64,16,23,7,124,0,97,1831
40,nagareyama_noda,0,3,0,0,0,7,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,10,0,3,0,3,0,0,0,10,3,0,10,0,0,0,0,0,0,3,10,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,24,10,0,0,13,0,3,149
41,yachiyo_sakura_narita_shiroi_etc,0,13,4,12,3,14,23,0,2,2,0,2,0,0,4,5,2,2,0,0,0,0,0,0,2,14,3,11,10,15,2,3,1,0,0,2,0,154,38,12,6,155,2,0,0,6,9,6,0,0,0,0,0,2,5,0,12,0,0,0,5,0,0,0,0,0,50,18,8,9,140,0,29,819
42,ichihara_city,0,0,0,0,4,0,4,4,0,0,4,0,7,0,0,0,0,4,0,0,0,4,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,7,14,0,4,29,0,0,143
43,kisarazu_sodegaura_kimitsu_futtsu,0,4,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,15,0,21,0,12,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
44,katsuura_otaki_tateyama_kamogawa_etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,9,27,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
45,choshi_asahi_sosa_katori_etc,2,5,4,4,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,5,4,0,6,0,0,4,0,2,0,0,0,24,2,9,22,8,5,0,0,189,29,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,8,0,7,0,34,0,24,415
46,togane_mobara_sanmu_oamishirasato_etc,4,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,4,31,1,9,0,0,0,16,4,0,6,22,4,7,32,7,108,0,2,0,0,0,0,2,0,2,1,8,0,13,0,0,0,6,0,0,12,0,0,6,41,0,18,387
47,tsuchiura_ishioka_omitama_kasumigaura_etc,21,21,12,15,22,3,7,7,0,0,0,3,3,0,3,3,0,6,0,0,0,0,0,0,0,3,0,20,0,0,0,0,9,2,7,0,0,0,13,3,3,20,0,0,0,2,0,50,18,18,3,27,0,13,44,2,0,3,12,5,7,0,2,2,3,0,50,0,10,7,93,0,14,591
48,koga_shimotsuma_yachiyo_goka_etc,0,0,3,0,0,0,14,7,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,10,4,3,6,21,3,3,0,27,0,0,0,3,0,0,0,25,0,0,0,3,0,0,194,0,14,3,0,0,11,9,4,0,5,26,0,0,0,0,0,0,23,9,3,8,100,0,27,579
49,tsukuba_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,28,123,37,43,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,311
50,joso_bando,0,6,0,3,0,0,3,0,0,3,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,8,9,6,0,3,0,3,0,6,0,6,9,3,0,6,0,0,0,0,3,6,0,3,13,20,3,0,0,0,0,3,3,0,3,0,0,0,0,0,80,9,15,33,161,0,249,688
51,ryugasaki_toride_ushiku_moriya_etc,3,3,0,3,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,6,0,0,3,0,0,3,6,0,9,0,0,0,3,3,15,0,6,9,22,3,0,6,3,3,3,6,3,3,0,0,0,0,0,10,3,0,0,10,0,0,170
52,inashiki_miho_kawachi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,kashima_kamisu_namegata_itako,12,6,6,6,0,0,6,9,3,3,0,18,3,6,9,3,3,0,3,0,10,15,3,3,12,9,9,9,31,46,0,9,9,6,0,9,0,10,43,6,6,25,6,3,7,61,3,55,12,6,19,19,11,697,39,3,22,91,9,0,3,0,10,6,0,0,142,81,25,40,111,0,33,1884
54,mito_hitachi_kasama_hitachinaka_etc,0,0,0,10,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,13,0,0,17,0,0,10,0,3,3,139,7,0,7,0,0,3,0,3,9,0,0,14,0,0,0,21,0,50,344
55,yuki_chikusei_sakuragawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,12,9,7,0,0,13,37,4,0,3,7,4,0,0,0,0,0,10,0,0,0,0,0,24,168
56,maebashi_takasaki_isesaki_shibukawa_etc,4,7,7,12,0,11,21,17,24,4,0,7,0,7,7,3,0,3,0,0,0,11,0,0,7,11,14,25,24,42,2,3,14,101,6,8,1,4,11,10,11,10,0,0,0,8,25,10,5,4,6,3,0,0,3,2,394,351,13,25,10,0,0,5,47,0,111,42,70,32,210,0,169,1992
57,kiryu_ota_tatebayashi_midori_etc,0,4,0,22,0,0,4,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,0,0,18,7,39,4,0,21,2,48,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,76,0,0,0,0,49,444,8,11,36,0,0,4,7,0,85,0,0,0,231,0,33,1185
58,utsunomiya_kanuma_moka_kaminokawa_etc,7,4,4,11,4,4,4,0,0,4,0,0,4,8,4,16,0,4,0,0,4,4,0,0,8,8,4,4,7,18,0,4,0,8,4,4,0,0,8,8,11,0,0,0,0,4,0,8,0,0,0,0,0,0,4,0,20,16,102,32,0,0,4,17,4,0,59,11,27,4,60,0,22,575
59,tochigi_oyama_shimotsuke_nogi_etc,0,15,8,4,0,0,4,8,11,0,0,0,0,0,4,12,0,4,4,0,4,0,0,0,0,4,4,4,8,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7,0,0,0,0,4,15,44,32,82,21,0,0,0,0,0,67,25,15,11,151,0,48,645
60,ashikaga_sano,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,66,111,4,57,96,0,0,0,0,0,8,0,0,4,6,0,0,383
61,tokyo_islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,ibaraki_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
63,tochigi_north,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
64,gunma_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
65,gunma_other_ueno_kanna_nanmoku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,hokkaido_tohoku,0,3,0,9,0,11,17,23,30,0,0,30,3,0,13,3,0,1,0,0,0,0,4,11,9,13,0,5,20,11,8,16,7,59,12,3,0,21,17,0,3,11,0,0,0,4,2,4,5,3,23,6,0,0,0,4,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439
67,hokuriku,3,5,0,5,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,19,3,0,0,9,0,0,3,4,0,1,3,0,3,14,0,3,4,0,0,0,5,0,2,1,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
68,yamanashi_nagano,0,4,0,28,0,2,9,51,3,0,0,13,0,0,0,13,0,0,0,0,0,0,4,4,0,34,9,9,6,0,0,19,16,33,1,0,0,10,5,0,12,2,0,0,4,5,8,4,0,0,3,0,0,0,0,0,60,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,381
69,shizuoka,9,10,0,16,0,0,23,19,9,0,3,37,7,6,4,180,0,0,0,0,13,0,4,11,12,10,4,16,0,39,0,15,0,10,3,7,0,38,28,0,16,13,0,4,0,10,11,7,6,3,9,0,0,0,0,0,7,2,0,12,20,0,0,0,0,0,0,0,0,0,0,0,0,653
70,chubu_west,9,42,1,25,11,17,7,44,59,4,0,130,2,0,30,51,4,11,0,0,8,0,11,32,45,22,17,57,63,54,0,80,20,109,1,14,12,3,43,16,53,44,4,4,7,11,17,36,5,5,42,0,0,3,24,9,41,47,11,39,38,0,0,0,0,0,0,0,0,0,0,0,0,1493
71,overseas,5,81,0,6,0,0,15,0,0,0,15,3,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,7,0,3,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368
999,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
○light_industrial_goods_excl_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(unit: vehicles/day)
