large_zone,region,MFS01,MFS02,MFS03,MFS04,MFS05,MFS06,MFS07,MFS08,MFS09,MFS10,MFS11,MFS12,MFS13,MFS14,MFS15,MFS16,MFS17,MFS18,MFS19,MFS20,MFS21,MFS25,MFS26,MFS27,MFS28,MFS29,MFS30,MFS31,MFS32,MFS33,MFS38,MFS39,MFS40,MFS41,MFS42,MFS43,MFS44,MFS22,MFS23,MFS24,MFS34,MFS35,MFS36,MFS37,MFS45,MFS46,MFS47,MFS48,MFS49,MFS50,MFS51,MFS52,MFS53,MFS54,MFS55,MFS56,MFS57,MFS58,MFS65,MFS66,MFS59,MFS60,MFS61,MFS64,MFS63,MFS67,MFS68,MFS69,MFS70,MFS71,PRF01,PRF02,PRF03,PRF04,PRF05,PRF06,PRF07,PRF15,PRF16,PRF17,PRF18,PRF19,PRF20,PRF22,PRF21,PRF23,PRF24,PRF31,PRF32,PRF33,PRF34,PRF35,PRF36,PRF37,PRF38,PRF39,PRF40,PRF41,PRF42,PRF43,PRF44,PRF45,PRF46,PRF47,OSK01,OSK02,OSK03,OSK04,OSK05,OSK06,OSK07,OSK08,OSK09,OSK10,OSK11,OSK12,OSK13,OSK14,OSK15,OSK16,OSK17,OSK18,OSK19,OSK20,OSK21,OSK22,OSK23,OSK24,OSK25,OSK26,OSK27,OSK28,OSK29,OSK30
23,MFS27,160.0,104.0,143.0,191.0,79.0,307.0,173.0,122.0,67.0,41.0,13.0,18.0,24.0,47.0,33.0,28.0,20.0,32.0,3.0,7.0,39.0,39.0,28.0,7201.0,917.0,1137.0,1408.0,41.0,244.0,1231.0,97.0,112.0,38.0,66.0,55.0,8.0,25.0,23.0,10.0,4.0,1576.0,185.0,19.0,10.0,0.0,9.0,13.0,40.0,33.0,19.0,13.0,35.0,0.0,7.0,53.0,45.0,130.0,74.0,7.0,0.0,151.0,64.0,30.0,74.0,14.0,0.0,0.0,0.0,0.0,0.0,173.9,41.1,43.0,89.4,30.4,36.7,69.6,94.8,52.4,51.2,35.6,51.1,128.9,184.0,29.1,155.8,31.4,7.0,9.7,29.8,46.5,22.5,11.6,14.7,19.0,8.9,76.0,11.2,17.4,23.3,17.1,13.6,20.5,17.1,15.6,6.0,3.2,2.1,12.8,2.6,23.6,13.6,80.5,3.4,10.4,7.4,42.4,20.7,5.3,9.9,1.3,1.8,12.3,3.3,26.0,7.7,4.9,0.1,1.2,12.3,0.5,0.3,0.5,0.0
24,MFS28,257.0,260.0,867.0,659.0,192.0,945.0,516.0,286.0,87.0,51.0,62.0,36.0,28.0,77.0,65.0,58.0,23.0,99.0,12.0,15.0,96.0,82.0,75.0,1354.0,2844.0,771.0,741.0,49.0,111.0,217.0,114.0,212.0,176.0,69.0,133.0,17.0,49.0,21.0,31.0,0.0,395.0,138.0,9.0,19.0,20.0,38.0,37.0,104.0,228.0,85.0,6.0,42.0,0.0,13.0,74.0,33.0,114.0,97.0,15.0,0.0,74.0,109.0,68.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,68.9,72.2,150.0,51.1,61.6,116.8,155.1,85.8,83.9,58.2,104.2,262.8,235.0,49.2,263.6,53.1,11.8,16.4,50.5,78.7,38.0,19.7,24.9,32.1,15.1,128.5,19.0,29.5,39.3,28.8,22.9,34.7,28.8,26.4,10.2,5.4,3.6,21.6,4.4,39.9,23.0,136.2,5.8,17.6,12.5,71.8,34.9,9.0,16.7,2.1,3.1,20.8,5.6,44.1,13.0,8.3,0.2,2.0,20.8,0.9,0.4,0.8,0.0
25,MFS29,328.0,215.0,413.0,274.0,217.0,729.0,194.0,1450.0,450.0,317.0,39.0,49.0,59.0,82.0,36.0,53.0,28.0,62.0,25.0,0.0,40.0,155.0,68.0,1149.0,558.0,5959.0,190.0,651.0,868.0,421.0,93.0,157.0,73.0,34.0,93.0,18.0,5.0,15.0,21.0,7.0,247.0,349.0,33.0,103.0,5.0,26.0,40.0,121.0,35.0,12.0,24.0,30.0,0.0,19.0,51.0,17.0,232.0,99.0,2.0,0.0,109.0,130.0,24.0,44.0,17.0,0.0,0.0,0.0,0.0,0.0,270.4,63.8,66.8,138.9,47.3,57.1,108.1,111.8,61.8,60.4,42.0,99.4,250.6,268.0,51.4,275.3,55.5,12.3,17.1,52.7,82.2,39.7,20.5,26.0,33.6,15.8,134.2,19.9,30.8,41.1,30.1,24.0,36.3,30.1,27.5,10.6,5.6,3.8,22.6,4.6,41.6,24.1,142.3,6.0,18.4,13.1,75.0,36.5,9.5,17.5,2.2,3.2,21.8,5.8,46.0,13.6,8.7,0.2,2.1,21.8,0.9,0.5,0.8,0.0
26,MFS30,450.0,300.0,441.0,778.0,178.0,332.0,1162.0,256.0,165.0,55.0,90.0,63.0,103.0,102.0,127.0,132.0,50.0,74.0,43.0,22.0,112.0,112.0,91.0,649.0,714.0,544.0,2961.0,28.0,99.0,251.0,206.0,370.0,359.0,257.0,248.0,58.0,77.0,59.0,39.0,32.0,382.0,192.0,59.0,8.0,20.0,49.0,64.0,179.0,222.0,101.0,146.0,118.0,18.0,62.0,211.0,50.0,288.0,106.0,11.0,0.0,259.0,149.0,93.0,103.0,19.0,0.0,0.0,0.0,0.0,0.0,352.1,83.1,87.0,180.9,61.6,74.3,140.8,191.6,106.0,103.6,71.9,89.5,225.5,363.0,72.8,390.4,78.7,17.5,24.3,74.8,116.5,56.3,29.1,36.9,47.6,22.3,190.3,28.2,43.7,58.3,42.7,34.0,51.5,42.7,39.1,15.1,8.0,5.3,32.0,6.6,59.0,34.1,201.7,8.5,26.1,18.5,106.3,51.8,13.4,24.8,3.1,4.6,30.9,8.2,65.2,19.3,12.4,0.4,3.0,30.9,1.3,0.7,1.2,0.0
27,MFS31,105.0,50.0,40.0,72.0,28.0,114.0,76.0,200.0,81.0,186.0,50.0,15.0,40.0,45.0,11.0,67.0,41.0,20.0,0.0,3.0,14.0,35.0,16.0,153.0,85.0,401.0,122.0,177.0,130.0,35.0,21.0,31.0,39.0,10.0,3.0,19.0,6.0,11.0,7.0,3.0,142.0,131.0,15.0,11.0,4.0,0.0,13.0,23.0,14.0,3.0,3.0,6.0,0.0,44.0,37.0,11.0,62.0,35.0,8.0,0.0,38.0,34.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,36.0,8.5,8.9,18.5,6.3,7.6,14.4,21.9,12.1,11.8,8.2,40.9,103.1,24.0,7.3,38.9,7.8,1.7,2.4,7.4,11.6,5.6,2.9,3.7,4.7,2.2,19.0,2.8,4.4,5.8,4.3,3.4,5.1,4.3,3.9,1.5,0.8,0.5,3.2,0.7,5.8,3.4,20.1,0.9,2.6,1.8,10.6,5.2,1.3,2.5,0.3,0.5,3.1,0.8,6.5,1.9,1.2,0.0,0.3,3.1,0.1,0.1,0.1,0.0
28,MFS32,135.0,160.0,92.0,220.0,101.0,73.0,79.0,310.0,46.0,63.0,20.0,19.0,25.0,45.0,177.0,70.0,3.0,143.0,7.0,0.0,78.0,378.0,90.0,462.0,271.0,993.0,372.0,312.0,686.0,272.0,178.0,450.0,159.0,222.0,303.0,3.0,0.0,10.0,24.0,7.0,407.0,371.0,73.0,32.0,0.0,12.0,3.0,23.0,18.0,10.0,0.0,9.0,0.0,0.0,9.0,0.0,126.0,118.0,3.0,0.0,32.0,16.0,12.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,53.6,12.7,13.3,27.6,9.4,11.3,21.5,45.4,25.1,24.5,17.0,26.1,65.9,61.0,15.1,81.2,16.4,3.6,5.0,15.5,24.2,11.7,6.1,7.7,9.9,4.6,39.6,5.9,9.1,12.1,8.9,7.1,10.7,8.9,8.1,3.1,1.7,1.1,6.7,1.4,12.3,7.1,42.0,1.8,5.4,3.8,22.1,10.8,2.8,5.2,0.7,1.0,6.4,1.7,13.6,4.0,2.6,0.1,0.6,6.4,0.3,0.1,0.2,0.0
29,MFS33,63.0,34.0,49.0,73.0,40.0,85.0,68.0,67.0,36.0,17.0,19.0,33.0,27.0,28.0,27.0,33.0,21.0,39.0,12.0,8.0,25.0,17.0,28.0,520.0,149.0,469.0,251.0,56.0,220.0,670.0,35.0,39.0,43.0,30.0,39.0,32.0,9.0,24.0,6.0,0.0,371.0,168.0,43.0,32.0,28.0,38.0,35.0,26.0,19.0,11.0,37.0,21.0,0.0,7.0,31.0,27.0,104.0,56.0,7.0,0.0,32.0,63.0,40.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,196.2,46.3,48.5,100.8,34.3,41.4,78.5,73.3,40.5,39.6,27.5,37.2,93.8,102.0,37.1,198.6,40.0,8.9,12.4,38.0,59.3,28.7,14.8,18.8,24.2,11.4,96.8,14.3,22.2,29.6,21.7,17.3,26.2,21.7,19.9,7.7,4.1,2.7,16.3,3.3,30.1,17.4,102.6,4.3,13.3,9.4,54.1,26.3,6.8,12.6,1.6,2.3,15.7,4.2,33.2,9.8,6.3,0.2,1.5,15.7,0.6,0.3,0.6,0.0
30,MFS38,235.0,120.0,73.0,150.0,25.0,40.0,148.0,47.0,21.0,9.0,30.0,54.0,75.0,65.0,27.0,52.0,23.0,49.0,4.0,0.0,14.0,49.0,17.0,140.0,56.0,63.0,95.0,6.0,15.0,26.0,2236.0,731.0,400.0,110.0,818.0,424.0,427.0,17.0,0.0,0.0,13.0,2.0,7.0,2.0,245.0,214.0,494.0,51.0,50.0,34.0,10.0,29.0,21.0,61.0,35.0,6.0,79.0,156.0,0.0,0.0,45.0,15.0,14.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,87.8,20.7,21.7,45.1,15.4,18.5,35.1,31.2,17.2,16.9,11.7,14.5,36.5,98.0,12.2,65.1,13.1,2.9,4.1,12.5,19.4,9.4,4.9,6.2,7.9,3.7,31.8,4.7,7.3,9.7,7.1,5.7,8.6,7.1,6.5,2.5,1.3,0.9,5.3,1.1,9.9,5.7,33.6,1.4,4.3,3.1,17.7,8.6,2.2,4.1,0.5,0.8,5.1,1.4,10.9,3.2,2.0,0.1,0.5,5.2,0.2,0.1,0.2,0.0
31,MFS39,503.0,553.0,308.0,1079.0,184.0,165.0,856.0,244.0,115.0,15.0,64.0,109.0,106.0,76.0,68.0,158.0,33.0,96.0,41.0,41.0,93.0,116.0,834.0,293.0,213.0,367.0,491.0,16.0,50.0,109.0,765.0,3050.0,681.0,194.0,870.0,180.0,104.0,51.0,21.0,0.0,185.0,65.0,6.0,8.0,34.0,70.0,137.0,82.0,43.0,88.0,65.0,139.0,26.0,69.0,94.0,83.0,181.0,129.0,4.0,0.0,127.0,74.0,51.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,278.3,65.7,68.8,143.0,48.7,58.7,111.3,102.1,56.4,55.2,38.3,70.7,178.3,221.0,53.0,284.0,57.2,12.7,17.7,54.4,84.8,41.0,21.2,26.8,34.6,16.3,138.5,20.5,31.8,42.4,31.1,24.7,37.4,31.1,28.4,11.0,5.8,3.9,23.3,4.8,43.0,24.8,146.8,6.2,19.0,13.5,77.3,37.7,9.8,18.0,2.3,3.3,22.5,6.0,47.5,14.0,9.0,0.3,2.2,22.4,0.9,0.5,0.8,0.0
32,MFS40,125.0,92.0,92.0,288.0,28.0,73.0,287.0,124.0,34.0,18.0,120.0,35.0,82.0,38.0,37.0,51.0,10.0,12.0,35.0,15.0,59.0,37.0,41.0,185.0,108.0,106.0,344.0,3.0,11.0,24.0,159.0,291.0,2104.0,442.0,352.0,48.0,37.0,10.0,4.0,51.0,116.0,20.0,23.0,0.0,7.0,61.0,103.0,189.0,53.0,63.0,147.0,197.0,13.0,13.0,115.0,11.0,70.0,117.0,0.0,0.0,62.0,63.0,20.0,42.0,4.0,0.0,0.0,0.0,0.0,0.0,242.3,57.2,59.9,124.5,42.4,51.1,96.9,71.7,39.6,38.8,26.9,73.3,184.7,173.0,45.0,241.4,48.6,10.8,15.0,46.2,72.1,34.8,18.0,22.8,29.4,13.8,117.7,17.4,27.0,36.0,26.4,21.0,31.8,26.4,24.2,9.3,4.9,3.3,19.8,4.1,36.5,21.1,124.7,5.3,16.1,11.4,65.7,32.0,8.3,15.3,1.9,2.8,19.1,5.1,40.3,11.9,7.6,0.2,1.8,19.1,0.8,0.4,0.7,0.0
33,MFS41,17.0,50.0,26.0,125.0,47.0,35.0,129.0,106.0,28.0,3.0,3.0,19.0,17.0,31.0,34.0,19.0,0.0,23.0,26.0,3.0,36.0,26.0,31.0,88.0,39.0,49.0,342.0,0.0,16.0,21.0,109.0,133.0,325.0,469.0,86.0,19.0,46.0,7.0,16.0,7.0,58.0,27.0,4.0,3.0,3.0,34.0,35.0,63.0,32.0,16.0,214.0,87.0,3.0,51.0,82.0,49.0,56.0,64.0,3.0,0.0,47.0,26.0,3.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,106.6,25.2,26.3,54.8,18.6,22.5,42.6,33.2,18.4,18.0,12.5,15.3,38.7,59.0,12.5,67.2,13.5,3.0,4.2,12.9,20.1,9.7,5.0,6.3,8.2,3.8,32.7,4.8,7.5,10.0,7.4,5.8,8.9,7.4,6.7,2.6,1.4,0.9,5.5,1.1,10.2,5.9,34.7,1.5,4.5,3.2,18.3,8.9,2.3,4.3,0.5,0.8,5.3,1.4,11.2,3.3,2.1,0.1,0.5,5.3,0.2,0.1,0.2,0.0
34,MFS42,179.0,154.0,136.0,264.0,109.0,163.0,237.0,174.0,96.0,5.0,72.0,70.0,107.0,116.0,75.0,87.0,36.0,109.0,12.0,18.0,34.0,51.0,86.0,137.0,85.0,227.0,177.0,5.0,28.0,55.0,820.0,579.0,350.0,97.0,1856.0,113.0,128.0,17.0,24.0,3.0,84.0,38.0,8.0,7.0,80.0,279.0,314.0,73.0,76.0,41.0,22.0,62.0,36.0,141.0,55.0,18.0,45.0,34.0,3.0,0.0,89.0,23.0,43.0,44.0,11.0,0.0,0.0,0.0,0.0,0.0,133.2,31.5,32.9,68.5,23.3,28.1,53.3,59.1,32.7,32.0,22.2,25.6,64.4,156.0,41.6,223.0,44.9,10.0,13.9,42.7,66.6,32.2,16.6,21.1,27.2,12.8,108.7,16.1,25.0,33.3,24.4,19.4,29.4,24.4,22.3,8.6,4.6,3.0,18.3,3.8,33.7,19.5,115.2,4.9,14.9,10.6,60.7,29.6,7.7,14.2,1.8,2.6,17.6,4.7,37.3,11.0,7.1,0.2,1.7,17.6,0.7,0.4,0.7,0.0
35,MFS43,53.0,77.0,14.0,63.0,15.0,15.0,22.0,20.0,16.0,9.0,17.0,17.0,9.0,8.0,10.0,56.0,1.0,88.0,5.0,1.0,20.0,7.0,51.0,21.0,36.0,36.0,58.0,9.0,9.0,17.0,167.0,113.0,28.0,18.0,85.0,741.0,266.0,23.0,6.0,1.0,57.0,42.0,4.0,1.0,136.0,58.0,125.0,44.0,54.0,6.0,46.0,24.0,4.0,62.0,40.0,6.0,72.0,36.0,0.0,0.0,27.0,13.0,15.0,32.0,10.0,0.0,0.0,0.0,0.0,0.0,76.3,18.0,18.9,39.2,13.4,16.1,30.5,55.1,30.5,29.8,20.7,22.4,56.6,139.0,27.6,148.0,29.8,6.6,9.2,28.3,44.2,21.4,11.0,14.0,18.0,8.5,72.1,10.7,16.6,22.1,16.2,12.9,19.5,16.2,14.8,5.7,3.0,2.0,12.1,2.5,22.4,12.9,76.4,3.2,9.9,7.0,40.3,19.6,5.1,9.4,1.2,1.7,11.7,3.1,24.7,7.3,4.7,0.1,1.1,11.7,0.5,0.3,0.4,0.0
36,MFS44,162.0,244.0,68.0,54.0,75.0,5.0,32.0,10.0,23.0,11.0,87.0,28.0,6.0,68.0,75.0,16.0,3.0,5.0,9.0,0.0,9.0,15.0,19.0,11.0,11.0,18.0,16.0,1.0,7.0,8.0,114.0,120.0,8.0,10.0,117.0,111.0,1926.0,2.0,2.0,8.0,37.0,5.0,0.0,0.0,201.0,41.0,87.0,3.0,4.0,15.0,7.0,8.0,0.0,35.0,3.0,2.0,16.0,8.0,0.0,0.0,19.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9,9.2,9.6,20.0,6.8,8.2,15.6,11.7,6.5,6.4,4.4,6.5,16.5,38.0,9.0,48.1,9.7,2.2,3.0,9.2,14.4,6.9,3.6,4.5,5.9,2.8,23.4,3.5,5.4,7.2,5.3,4.2,6.3,5.3,4.8,1.9,1.0,0.7,3.9,0.8,7.3,4.2,24.9,1.1,3.2,2.3,13.1,6.4,1.7,3.1,0.4,0.6,3.8,1.0,8.0,2.4,1.5,0.0,0.4,3.8,0.2,0.1,0.1,0.0
37,MFS22,4.0,35.0,28.0,13.0,25.0,15.0,19.0,33.0,48.0,23.0,25.0,56.0,75.0,39.0,42.0,34.0,7.0,96.0,29.0,26.0,472.0,601.0,191.0,26.0,29.0,45.0,28.0,3.0,9.0,5.0,12.0,33.0,7.0,11.0,11.0,16.0,21.0,768.0,323.0,113.0,28.0,6.0,6.0,0.0,12.0,7.0,1.0,13.0,7.0,8.0,7.0,14.0,0.0,3.0,13.0,12.0,20.0,17.0,0.0,0.0,18.0,15.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,42.5,10.0,10.5,21.8,7.4,9.0,17.0,57.9,32.0,31.3,21.7,13.1,32.9,100.0,13.0,69.7,14.0,3.1,4.3,13.4,20.8,10.1,5.2,6.6,8.5,4.0,34.0,5.0,7.8,10.4,7.6,6.1,9.2,7.6,7.0,2.7,1.4,1.0,5.7,1.2,10.6,6.1,36.0,1.5,4.7,3.3,19.0,9.2,2.4,4.4,0.6,0.8,5.5,1.5,11.7,3.4,2.2,0.1,0.5,5.5,0.2,0.1,0.2,0.0
38,MFS23,22.0,38.0,7.0,23.0,3.0,5.0,11.0,3.0,33.0,0.0,8.0,28.0,30.0,17.0,28.0,15.0,4.0,29.0,12.0,4.0,81.0,123.0,56.0,4.0,7.0,16.0,60.0,0.0,0.0,3.0,12.0,7.0,20.0,0.0,14.0,0.0,4.0,131.0,694.0,258.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,5.3,5.5,11.5,3.9,4.7,8.9,5.7,3.1,3.1,2.1,15.3,38.7,220.0,4.6,24.9,5.0,1.1,1.5,4.8,7.4,3.6,1.9,2.4,3.0,1.4,12.1,1.8,2.8,3.7,2.7,2.2,3.3,2.7,2.5,1.0,0.5,0.3,2.1,0.4,3.8,2.2,12.9,0.5,1.7,1.2,6.8,3.3,0.9,1.6,0.2,0.3,2.0,0.5,4.2,1.2,0.8,0.0,0.2,2.0,0.1,0.0,0.1,0.0
39,MFS24,36.0,23.0,18.0,17.0,4.0,10.0,14.0,9.0,21.0,6.0,27.0,51.0,104.0,20.0,55.0,49.0,20.0,36.0,7.0,28.0,45.0,156.0,49.0,31.0,13.0,15.0,6.0,0.0,7.0,3.0,16.0,22.0,6.0,3.0,3.0,7.0,4.0,81.0,611.0,514.0,3.0,10.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,6.0,7.0,0.0,0.0,3.0,0.0,0.0,10.0,7.0,0.0,0.0,6.0,69.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,39.6,9.4,9.8,20.4,6.9,8.4,15.8,7.3,4.0,3.9,2.7,25.8,65.2,265.0,11.9,63.9,12.9,2.9,4.0,12.2,19.1,9.2,4.8,6.0,7.8,3.7,31.2,4.6,7.2,9.5,7.0,5.6,8.4,7.0,6.4,2.5,1.3,0.9,5.3,1.1,9.7,5.6,33.0,1.4,4.3,3.0,17.4,8.5,2.2,4.1,0.5,0.8,5.1,1.3,10.7,3.1,2.0,0.1,0.5,5.1,0.2,0.1,0.2,0.0
40,MFS34,107.0,133.0,59.0,136.0,28.0,164.0,198.0,58.0,52.0,31.0,34.0,21.0,41.0,26.0,28.0,49.0,26.0,36.0,10.0,4.0,34.0,37.0,41.0,327.0,264.0,301.0,457.0,26.0,112.0,445.0,69.0,133.0,134.0,162.0,60.0,15.0,12.0,28.0,13.0,6.0,1321.0,269.0,31.0,9.0,0.0,34.0,29.0,95.0,108.0,39.0,65.0,48.0,3.0,11.0,135.0,38.0,222.0,245.0,14.0,0.0,108.0,119.0,60.0,39.0,20.0,0.0,0.0,0.0,0.0,0.0,247.0,58.3,61.1,126.9,43.2,52.1,98.8,157.1,86.9,85.0,59.0,57.4,144.6,194.0,32.9,176.3,35.5,7.9,11.0,33.8,52.6,25.4,13.2,16.7,21.5,10.1,85.9,12.7,19.7,26.3,19.3,15.3,23.2,19.3,17.7,6.8,3.6,2.4,14.5,3.0,26.7,15.4,91.1,3.9,11.8,8.4,48.0,23.4,6.0,11.2,1.4,2.1,13.9,3.7,29.5,8.7,5.6,0.2,1.3,13.9,0.6,0.3,0.5,0.0
41,MFS35,95.0,66.0,87.0,98.0,73.0,62.0,137.0,211.0,108.0,67.0,26.0,26.0,18.0,23.0,22.0,28.0,26.0,45.0,15.0,2.0,32.0,108.0,51.0,290.0,114.0,565.0,161.0,94.0,394.0,174.0,53.0,32.0,47.0,27.0,75.0,12.0,22.0,29.0,3.0,18.0,363.0,1597.0,229.0,164.0,6.0,5.0,15.0,31.0,135.0,25.0,22.0,31.0,3.0,32.0,119.0,104.0,408.0,414.0,17.0,0.0,171.0,51.0,52.0,110.0,18.0,0.0,0.0,0.0,0.0,0.0,184.7,43.6,45.7,94.9,32.3,39.0,73.9,50.2,27.8,27.2,18.8,69.0,174.0,140.0,27.4,146.6,29.5,6.6,9.1,28.1,43.8,21.2,10.9,13.9,17.9,8.4,71.5,10.6,16.4,21.9,16.0,12.8,19.3,16.0,14.7,5.7,3.0,2.0,12.0,2.5,22.2,12.8,75.7,3.2,9.8,6.9,39.9,19.4,5.0,9.3,1.2,1.7,11.6,3.1,24.5,7.2,4.6,0.1,1.1,11.6,0.5,0.3,0.4,0.0
42,MFS36,40.0,66.0,27.0,152.0,67.0,90.0,16.0,74.0,29.0,9.0,11.0,6.0,6.0,3.0,9.0,3.0,0.0,0.0,3.0,3.0,52.0,3.0,15.0,26.0,61.0,136.0,45.0,10.0,51.0,34.0,10.0,16.0,32.0,5.0,30.0,3.0,3.0,6.0,20.0,0.0,57.0,150.0,260.0,15.0,3.0,0.0,9.0,23.0,20.0,15.0,10.0,5.0,0.0,0.0,33.0,3.0,252.0,79.0,10.0,0.0,42.0,29.0,40.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,61.9,14.6,15.3,31.8,10.8,13.1,24.8,45.0,24.9,24.3,16.9,18.5,46.5,49.0,19.3,103.7,20.9,4.6,6.4,19.9,30.9,15.0,7.7,9.8,12.6,5.9,50.5,7.5,11.6,15.5,11.3,9.0,13.7,11.3,10.4,4.0,2.1,1.4,8.5,1.7,15.7,9.1,53.5,2.3,6.9,4.9,28.2,13.7,3.6,6.6,0.8,1.2,8.2,2.2,17.3,5.1,3.3,0.1,0.8,8.2,0.3,0.2,0.3,0.0
43,MFS37,36.0,7.0,37.0,30.0,3.0,50.0,15.0,24.0,20.0,48.0,3.0,15.0,46.0,3.0,11.0,31.0,6.0,17.0,3.0,14.0,0.0,12.0,18.0,73.0,55.0,225.0,43.0,28.0,45.0,32.0,26.0,42.0,3.0,0.0,20.0,21.0,6.0,3.0,6.0,6.0,106.0,215.0,20.0,338.0,0.0,0.0,0.0,9.0,6.0,9.0,0.0,3.0,11.0,45.0,32.0,6.0,103.0,25.0,8.0,0.0,20.0,6.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,6.8,7.1,14.8,5.0,6.1,11.5,26.3,14.6,14.2,9.9,23.6,59.4,62.0,6.2,33.1,6.7,1.5,2.1,6.3,9.9,4.8,2.5,3.1,4.0,1.9,16.1,2.4,3.7,4.9,3.6,2.9,4.4,3.6,3.3,1.3,0.7,0.5,2.7,0.6,5.0,2.9,17.1,0.7,2.2,1.6,9.0,4.4,1.1,2.1,0.3,0.4,2.6,0.7,5.5,1.7,1.1,0.0,0.3,2.6,0.1,0.1,0.1,0.0
44,MFS45,43.0,74.0,48.0,45.0,31.0,58.0,59.0,99.0,43.0,4.0,8.0,32.0,30.0,34.0,18.0,14.0,18.0,22.0,19.0,4.0,18.0,20.0,36.0,50.0,37.0,50.0,40.0,0.0,4.0,9.0,66.0,75.0,42.0,14.0,26.0,52.0,102.0,15.0,14.0,0.0,24.0,14.0,4.0,0.0,695.0,21.0,22.0,9.0,4.0,15.0,4.0,26.0,4.0,9.0,27.0,4.0,44.0,24.0,0.0,0.0,36.0,15.0,9.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,58.7,13.9,14.5,30.2,10.3,12.4,23.5,47.8,26.4,25.8,17.9,24.4,61.6,42.0,21.8,117.0,23.6,5.2,7.3,22.4,34.9,16.9,8.7,11.1,14.3,6.7,57.0,8.4,13.1,17.5,12.8,10.2,15.4,12.8,11.7,4.5,2.4,1.6,9.6,2.0,17.7,10.2,60.4,2.6,7.8,5.5,31.8,15.5,4.0,7.4,0.9,1.4,9.2,2.5,19.5,5.8,3.7,0.1,0.9,9.3,0.4,0.2,0.3,0.0
45,MFS46,62.0,136.0,16.0,41.0,24.0,17.0,47.0,11.0,14.0,3.0,14.0,0.0,3.0,8.0,18.0,11.0,13.0,9.0,4.0,0.0,7.0,37.0,89.0,30.0,16.0,31.0,25.0,8.0,14.0,5.0,109.0,63.0,47.0,38.0,147.0,20.0,14.0,3.0,3.0,0.0,34.0,11.0,0.0,0.0,4.0,1426.0,155.0,7.0,9.0,0.0,7.0,22.0,10.0,300.0,22.0,6.0,45.0,25.0,5.0,0.0,21.0,8.0,12.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,64.4,15.2,15.9,33.1,11.3,13.6,25.8,19.0,10.5,10.3,7.1,78.4,197.6,77.0,11.1,59.7,12.0,2.7,3.7,11.4,17.8,8.6,4.5,5.6,7.3,3.4,29.1,4.3,6.7,8.9,6.5,5.2,7.9,6.5,6.0,2.3,1.2,0.8,4.9,1.0,9.0,5.2,30.8,1.3,4.0,2.8,16.2,7.9,2.0,3.8,0.5,0.7,4.7,1.3,10.0,2.9,1.9,0.1,0.4,4.7,0.2,0.1,0.2,0.0
46,MFS47,114.0,81.0,100.0,139.0,65.0,118.0,143.0,91.0,44.0,13.0,29.0,18.0,4.0,15.0,20.0,52.0,31.0,15.0,5.0,6.0,20.0,16.0,20.0,40.0,50.0,109.0,89.0,4.0,33.0,14.0,223.0,231.0,72.0,33.0,511.0,129.0,129.0,17.0,13.0,4.0,60.0,10.0,3.0,4.0,264.0,167.0,833.0,27.0,28.0,5.0,5.0,27.0,5.0,76.0,44.0,32.0,50.0,46.0,2.0,0.0,16.0,22.0,6.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,71.6,16.9,17.7,36.8,12.5,15.1,28.7,42.9,23.7,23.2,16.1,27.3,68.7,93.0,17.8,95.3,19.2,4.3,5.9,18.3,28.4,13.7,7.1,9.0,11.6,5.5,46.5,6.9,10.7,14.2,10.4,8.3,12.6,10.4,9.6,3.7,2.0,1.3,7.8,1.6,14.4,8.3,49.2,2.1,6.4,4.5,26.0,12.6,3.3,6.0,0.8,1.1,7.5,2.0,15.9,4.7,3.0,0.1,0.7,7.5,0.3,0.2,0.3,0.0
